node,5393469953,POINT (-5.1881128 50.2549303),,,,GB,TR16 5BB,,,Scorrier,,,Whitehall,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5393469954,POINT (-5.1880668 50.2541473),,,,GB,TR16 5BB,,,Scorrier,,,The Forge,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5398532040,POINT (-5.1732797 50.2498617),,,,GB,TR4 8LY,Cox Hill,,Truro,,,Cox Hill Farm,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5398532044,POINT (-5.1758005 50.2487666),,,,GB,TR4 8LY,Cox Hill,,Truro,,,Wheal Bush Cottage,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398532045,POINT (-5.1757233 50.2485976),,,,GB,TR4 8LY,Cox Hill,,Truro,,,Wheal Bush House,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398532062,POINT (-5.1840819 50.2577822),,,,GB,TR4 8ND,,,Scorrier,,,Kitbartley Farm,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5398554658,POINT (-5.1758695 50.2593715),,,,GB,TR4 8NY,Wheal Busy,,Truro,,,Adams Row,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398554659,POINT (-5.175088 50.2593042),,,,GB,TR4 8NZ,Wheal Busy,,Truro,,,Box Villa,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398554660,POINT (-5.1750167 50.2595587),,,,GB,TR4 8NZ,Wheal Busy,,Truro,,,Sunnyside,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398554661,POINT (-5.1752571 50.2593407),,,,GB,TR4 8NZ,Wheal Busy,,Truro,,,Ley Cottage,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398554663,POINT (-5.1790101 50.2587049),,,,GB,TR4 8ND,Wheal Busy,,Truro,,,Foxes Hollow,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5398554664,POINT (-5.1809066 50.2598091),,,,GB,TR4 8ND,,,Truro,,,Primrose Farm,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
